,선명,역명,주소,위도,경도
222,7호선,군자(능동),서울특별시 광진구 천호대로 지하550(능동),37.5505785,127.0817378
223,7호선,남구로,서울특별시 구로구 도림로 지하7(구로동),37.5050823,126.8887869
224,7호선,남성,서울특별시 동작구 사당로 지하218(사당동),37.4889312,126.9691198
225,7호선,내방,서울특별시 서초구 서초대로 지하103(방배동),37.4910405,127.004581
226,7호선,노원,서울특별시 노원구 동일로 지하1409(상계동),37.6543386,127.0626961
227,7호선,논현,서울특별시 강남구 학동로 지하102(논현동),37.5201287,127.0393976
228,7호선,대림(구로구청),서울특별시 영등포구 도림로 지하137(대림동),37.4954266,126.9001326
229,7호선,도봉산,서울특별시 도봉구 도봉로 964-40(도봉동),37.6890338,127.0466673
230,7호선,뚝섬유원지,서울특별시 광진구 능동로 10(자양동),37.540458,127.066694
231,7호선,마들,서울특별시 노원구 동일로 지하1530-1(상계동),37.6543386,127.0626961
232,7호선,먹골,서울특별시 중랑구 동일로 지하901(묵동),37.5976182,127.0790622
233,7호선,면목,서울특별시 중랑구 면목로 지하407(면목동),37.5845464,127.0905862
234,7호선,반포,서울특별시 서초구 신반포로 지하241(잠원동),37.5151065,127.0137779
235,7호선,보라매,서울특별시 동작구 상도로 지하2(대방동),37.5062327,126.93435
236,7호선,사가정,서울특별시 중랑구 사가정로 지하393(면목동),37.5719656,127.0845223
237,7호선,상도,서울특별시 동작구 상도로 지하272(상도1동),37.5032626,126.9506566
238,7호선,상봉(시외버스터미널),서울특별시 중랑구 망우로 297(상봉동),37.5967657,127.0860297
239,7호선,수락산,서울특별시 노원구 동일로 지하1662(상계동),37.6543386,127.0626961
240,7호선,숭실대입구(살피재),서울특별시 동작구 상도로 지하378(상도동),37.4990513,126.9422048
241,7호선,신대방삼거리,서울특별시 동작구 상도로 지하76(대방동),37.5143563,126.932638
242,7호선,신풍,서울특별시 영등포구 신풍로 지하27(신길동),37.5001413,126.9131951
243,7호선,어린이대공원(세종대),서울특별시 광진구 능동로 지하210(화양동),37.5471794,127.0729432
244,7호선,온수(성공회대입구),서울특별시 구로구 경인로3길 지하64(온수동),37.4928922,126.8184319
245,7호선,용마산,서울특별시 중랑구 용마산로 지하227(면목동),37.5712405,127.0861385
246,7호선,장승배기,서울특별시 동작구 상도로 지하188(상도동),37.4990513,126.9422048
247,7호선,장암,경기도 의정부시 동일로 121(장암동),37.7001506,127.0531007
248,7호선,중계,서울특별시 노원구 동일로 지하1308-1(중계동),37.6510125,127.0799977
249,7호선,중곡,서울특별시 광진구 능동로 지하417(중곡동),37.56354400000001,127.0888304
250,7호선,중화,서울특별시 중랑구 동일로 지하797(중화동),37.6005095,127.0781428
251,7호선,천왕,서울특별시 구로구 오리로 지하1154(천왕동),37.4808353,126.8398192
252,7호선,철산,경기도 광명시 철산로 지하13(철산동),37.4759465,126.8682506
253,7호선,청담,서울특별시 강남구 학동로 지하508(청담동),37.51673170000001,127.042221
254,7호선,총신대입구(이수),서울특별시 동작구 사당로 지하310(사당동),37.4889312,126.9691198
255,7호선,태릉입구,서울특별시 노원구 동일로 지하 992-1(공릉동),37.6304722,127.0909904
256,7호선,하계,서울특별시 노원구 동일로 지하1196(하계동),37.6376443,127.0725093
257,7호선,학동,서울특별시 강남구 학동로 지하180(논현동),37.5077821,127.0272107
258,8호선,가락시장,서울특별시 송파구 송파대로 지하257(가락동),37.4956865,127.1184047
259,8호선,강동구청,서울특별시 강동구 올림픽로 지하550(성내동),37.5291562,127.1237948
260,8호선,남위례,경기도 성남시 수정구 공원로 601(복정동),37.46306999999999,127.1391515
261,8호선,남한산성입구(성남법원·검찰청),경기도 성남시 수정구 산성대로 지하445(단대동),37.4549348,127.1572993
262,8호선,단대오거리,경기도 성남시 수정구 산성대로 지하365(신흥동),37.4494334,127.1515801
263,8호선,모란,경기도 성남시 수정구 산성대로 지하100(수진동),37.4401794,127.1325888
264,8호선,몽촌토성(평화의문),서울특별시 송파구 올림픽로 지하383(신천동),37.52099219999999,127.0991094
265,8호선,문정,서울특별시 송파구 송파대로 지하179(문정동),37.4855846,127.1225635
266,8호선,복정,서울특별시 송파구 송파대로 지하6(장지동),37.4768715,127.1320663
267,8호선,산성,경기도 성남시 수정구 수정로 지하365(신흥동),37.4494334,127.1515801
