호선명,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
4호선,명동,30,2250,20180,53540,120942,94199,73624,80415,89207,89365,91045,104187,112923,133793,168675,97310,79532,68804,50520,19754,2801,97,1,0,1553193,명동,서울특별시
4호선,미아,65,12890,26893,61729,83739,52905,40223,41218,41355,41878,43046,47105,54017,61206,74131,55003,35145,31031,27041,15501,2858,17,0,0,848997,미아,서울특별시
4호선,미아사거리,66,17735,45217,110845,127489,91764,71082,69569,73840,75496,77662,88623,102400,112326,143428,110416,77231,61711,52476,28766,4992,19,0,0,1543154,미아사거리,서울특별시
4호선,사당,200,11810,43707,93201,119488,96106,68826,68005,71622,67777,66683,70908,84519,111137,144663,95377,67501,67969,62244,35352,6704,501,3,0,1454306,사당,서울특별시
4호선,삼각지,6,1135,7903,19404,29453,17720,14012,15148,17049,18145,17427,18612,22871,30924,42249,23156,16900,17119,15866,9274,1728,16,0,0,356114,삼각지,서울특별시
4호선,상계,46,14273,43975,102579,93524,60583,46920,44914,49964,48220,46396,51061,61317,70497,87109,75343,47736,42922,41178,23839,4683,422,2,0,1057502,상계,서울특별시
4호선,서울역,241,5294,22155,50544,95910,64859,39542,39728,45540,44883,43086,47665,55019,83745,99809,53209,36871,33502,27028,13364,3026,210,2,0,905231,서울역,서울특별시
4호선,성신여대입구,30,7553,25746,62241,89082,62327,51034,57570,60046,62466,65232,67468,78188,95741,115712,82709,60421,60161,54689,30529,6024,23,0,0,1194992,성신여대입구(돈암),서울특별시
4호선,수유,103,24657,59191,134046,174031,116539,86486,84481,89152,91961,92001,100225,120212,141415,187901,147182,96602,86717,76334,48409,8390,43,0,0,1966079,수유(강북구청),서울특별시
4호선,숙대입구,12,3556,14669,39783,74387,48838,39323,37086,39506,40273,40161,43408,55566,68347,88228,49546,37653,36544,32551,17285,2588,29,0,0,809341,숙대입구(갈월),서울특별시
4호선,신용산,8,2494,16279,46840,105100,80148,45098,42884,45541,49622,48455,55280,65809,96038,134713,68006,48049,44688,32742,15770,2099,23,0,0,1045687,신용산,서울특별시
4호선,쌍문,259,24677,60755,137661,151633,97227,72643,67445,71371,69408,66961,74794,88996,104928,137087,118501,75787,66618,60287,37120,7711,38,0,0,1591906,쌍문,서울특별시
4호선,이촌,26,2112,11824,25837,43524,36553,31492,30964,36848,38775,38747,41917,46790,49460,51426,26612,18837,17288,12672,6098,1180,29,0,0,569012,이촌(국립중앙박물관),서울특별시
4호선,창동,2028,19133,51993,104476,116605,81467,69612,67541,74997,78809,79417,86467,98662,111196,137349,103859,67189,59681,52392,30510,8583,99,0,0,1502065,창동,서울특별시
4호선,총신대입구,103,7071,25549,65109,101296,68579,53593,53007,57087,60397,59789,65735,74424,90284,119210,73691,51844,45430,39793,21231,3400,437,0,0,1137060,총신대입구(이수),서울특별시
4호선,충무로,93,6601,27069,64213,182471,117325,76356,70450,70178,75317,75316,78669,90383,129291,185168,91459,64203,62341,51773,29349,5411,101,6,0,1553543,충무로,서울특별시
4호선,한성대입구,60,7554,19531,47016,65524,50223,40395,39040,42805,44100,43052,46047,56801,62716,68310,49202,35904,32958,28918,16595,6373,1248,8,0,804380,한성대입구(삼선교),서울특별시
4호선,혜화,25,6141,30470,66809,136689,110865,98072,101743,115515,135719,136226,140642,153129,179789,198824,126522,93544,115017,104531,41475,6055,330,2,0,2098136,혜화,서울특별시
4호선,회현,19,2271,22817,57096,137563,107799,89679,96415,94938,97948,104415,106399,111320,124555,145010,63477,53104,28228,17691,7474,1343,64,0,0,1469625,회현(남대문시장),서울특별시
